start,peak,end,peak_counts,background,snr,duration_s,instrument
2026-06-02 15:35:11+00:00,2026-06-02 15:36:10+00:00,2026-06-02 15:36:14+00:00,307.0,0.0,307.0,63.0,HEL1OS
2026-06-02 15:37:57+00:00,2026-06-02 15:38:36+00:00,2026-06-02 15:38:52+00:00,216.0,0.0,216.0,55.0,HEL1OS
2026-06-02 16:10:27+00:00,2026-06-02 16:11:04+00:00,2026-06-02 16:11:50+00:00,254.0,0.0,254.0,83.0,HEL1OS
2026-06-02 16:30:20+00:00,2026-06-02 16:30:27+00:00,2026-06-02 16:30:41+00:00,190.0,0.0,190.0,21.0,HEL1OS
2026-06-02 16:40:19+00:00,2026-06-02 16:42:04+00:00,2026-06-02 16:56:45+00:00,494.0,0.0,494.0,986.0,HEL1OS
2026-06-02 16:59:59+00:00,2026-06-02 17:01:42+00:00,2026-06-02 17:01:46+00:00,379.0,0.0,379.0,107.0,HEL1OS
2026-06-02 17:15:48+00:00,2026-06-02 17:17:10+00:00,2026-06-02 17:17:25+00:00,282.0,0.0,282.0,97.0,HEL1OS
2026-06-02 17:53:29+00:00,2026-06-02 17:54:17+00:00,2026-06-02 17:54:46+00:00,242.0,0.0,242.0,77.0,HEL1OS
2026-06-02 18:00:47+00:00,2026-06-02 18:02:03+00:00,2026-06-02 18:02:56+00:00,253.0,0.0,253.0,129.0,HEL1OS
2026-06-02 18:10:25+00:00,2026-06-02 18:11:22+00:00,2026-06-02 18:12:38+00:00,269.0,0.0,269.0,133.0,HEL1OS
2026-06-02 18:15:05+00:00,2026-06-02 18:15:36+00:00,2026-06-02 18:15:44+00:00,271.0,0.0,271.0,39.0,HEL1OS
2026-06-02 18:21:40+00:00,2026-06-02 18:22:40+00:00,2026-06-02 18:23:45+00:00,264.0,0.0,264.0,125.0,HEL1OS
2026-06-02 18:25:20+00:00,2026-06-02 18:25:58+00:00,2026-06-02 18:26:25+00:00,263.0,0.0,263.0,65.0,HEL1OS
2026-06-02 18:37:33+00:00,2026-06-02 18:42:43+00:00,2026-06-02 18:43:13+00:00,241.0,0.0,241.0,340.0,HEL1OS
2026-06-02 19:00:25+00:00,2026-06-02 19:00:39+00:00,2026-06-02 19:02:34+00:00,296.0,0.0,296.0,129.0,HEL1OS
2026-06-02 19:06:47+00:00,2026-06-02 19:06:55+00:00,2026-06-02 19:07:56+00:00,242.0,0.0,242.0,69.0,HEL1OS
2026-06-02 19:26:05+00:00,2026-06-02 19:26:43+00:00,2026-06-02 19:27:07+00:00,187.0,0.0,187.0,62.0,HEL1OS
2026-06-02 19:31:57+00:00,2026-06-02 19:32:20+00:00,2026-06-02 19:33:00+00:00,230.0,0.0,230.0,63.0,HEL1OS
2026-06-02 19:45:01+00:00,2026-06-02 19:45:15+00:00,2026-06-02 19:45:23+00:00,219.0,0.0,219.0,22.0,HEL1OS
2026-06-02 19:58:14+00:00,2026-06-02 19:58:40+00:00,2026-06-02 19:59:48+00:00,268.0,0.0,268.0,94.0,HEL1OS
2026-06-02 20:05:16+00:00,2026-06-02 20:05:18+00:00,2026-06-02 20:06:12+00:00,292.0,0.0,292.0,56.0,HEL1OS
2026-06-02 20:13:38+00:00,2026-06-02 20:14:26+00:00,2026-06-02 20:14:50+00:00,203.0,0.0,203.0,72.0,HEL1OS
2026-06-02 20:31:00+00:00,2026-06-02 20:33:28+00:00,2026-06-02 20:34:12+00:00,300.0,0.0,300.0,192.0,HEL1OS
2026-06-02 20:37:49+00:00,2026-06-02 20:38:32+00:00,2026-06-02 20:39:31+00:00,236.0,0.0,236.0,102.0,HEL1OS
2026-06-02 20:42:28+00:00,2026-06-02 20:44:19+00:00,2026-06-02 20:45:02+00:00,287.0,0.0,287.0,154.0,HEL1OS
2026-06-02 20:51:56+00:00,2026-06-02 20:52:18+00:00,2026-06-02 20:53:19+00:00,255.0,0.0,255.0,83.0,HEL1OS
2026-06-02 20:54:55+00:00,2026-06-02 20:56:06+00:00,2026-06-02 20:56:10+00:00,259.0,0.0,259.0,75.0,HEL1OS
2026-06-02 21:00:53+00:00,2026-06-02 21:01:16+00:00,2026-06-02 21:02:50+00:00,246.0,0.0,246.0,117.0,HEL1OS
2026-06-02 21:23:27+00:00,2026-06-02 21:23:35+00:00,2026-06-02 21:23:49+00:00,190.0,0.0,190.0,22.0,HEL1OS
2026-06-02 21:27:56+00:00,2026-06-02 21:28:31+00:00,2026-06-02 21:28:36+00:00,260.0,0.0,260.0,40.0,HEL1OS
2026-06-02 21:39:29+00:00,2026-06-02 21:39:53+00:00,2026-06-02 21:40:44+00:00,251.0,0.0,251.0,75.0,HEL1OS
2026-06-02 21:57:37+00:00,2026-06-02 21:58:23+00:00,2026-06-02 21:58:47+00:00,254.0,0.0,254.0,70.0,HEL1OS
2026-06-02 22:08:22+00:00,2026-06-02 22:08:44+00:00,2026-06-02 22:11:25+00:00,318.0,0.0,318.0,183.0,HEL1OS
2026-06-02 22:28:24+00:00,2026-06-02 22:29:40+00:00,2026-06-02 22:30:24+00:00,300.0,0.0,300.0,120.0,HEL1OS
2026-06-02 22:32:13+00:00,2026-06-02 22:32:37+00:00,2026-06-02 22:33:22+00:00,232.0,0.0,232.0,69.0,HEL1OS
2026-06-02 22:41:44+00:00,2026-06-02 22:41:52+00:00,2026-06-02 22:43:10+00:00,263.0,0.0,263.0,86.0,HEL1OS
2026-06-02 23:02:27+00:00,2026-06-02 23:02:43+00:00,2026-06-02 23:04:47+00:00,246.0,0.0,246.0,140.0,HEL1OS
2026-06-02 23:18:08+00:00,2026-06-02 23:18:23+00:00,2026-06-02 23:18:31+00:00,177.0,0.0,177.0,23.0,HEL1OS
2026-06-02 23:27:15+00:00,2026-06-02 23:27:23+00:00,2026-06-02 23:27:47+00:00,260.0,0.0,260.0,32.0,HEL1OS
2026-06-02 23:31:25+00:00,2026-06-02 23:31:56+00:00,2026-06-02 23:32:26+00:00,261.0,0.0,261.0,61.0,HEL1OS
2026-06-02 23:34:31+00:00,2026-06-02 23:34:41+00:00,2026-06-02 23:35:26+00:00,239.0,0.0,239.0,55.0,HEL1OS
2026-06-02 23:44:47+00:00,2026-06-02 23:45:01+00:00,2026-06-02 23:45:06+00:00,326.0,0.0,326.0,19.0,HEL1OS
2026-06-02 23:47:20+00:00,2026-06-02 23:47:42+00:00,2026-06-02 23:48:46+00:00,256.0,0.0,256.0,86.0,HEL1OS
