start_utc,peak_utc,end_utc,duration_s,sxr_peak_counts,sxr_peak_flux_wm2,goes_class,goes_class_num,hxr_detected,hxr_peak_counts,snr_sxr,snr_hxr,source
2026-06-16 22:08:57+00:00,2026-06-16 22:10:00+00:00,2026-06-16 22:10:00+00:00,63.0,,,?,0,True,221.0,,221.0,HXR_only
2026-06-16 22:11:41+00:00,2026-06-16 22:11:59+00:00,2026-06-16 22:14:35+00:00,174.0,,,?,0,True,295.0,,295.0,HXR_only
2026-06-16 22:24:51+00:00,2026-06-16 22:25:15+00:00,2026-06-16 22:25:29+00:00,38.0,,,?,0,True,210.0,,210.0,HXR_only
2026-06-16 22:43:46+00:00,2026-06-16 22:48:04+00:00,2026-06-16 22:48:04+00:00,258.0,,,?,0,True,289.0,,289.0,HXR_only
2026-06-16 22:52:28+00:00,2026-06-16 22:52:36+00:00,2026-06-16 22:52:52+00:00,24.0,,,?,0,True,282.0,,282.0,HXR_only
2026-06-16 22:58:06+00:00,2026-06-16 22:59:04+00:00,2026-06-16 22:59:09+00:00,63.0,,,?,0,True,318.0,,318.0,HXR_only
2026-06-16 23:17:57+00:00,2026-06-16 23:19:14+00:00,2026-06-16 23:23:17+00:00,320.0,,,?,0,True,281.0,,281.0,HXR_only
2026-06-16 23:27:10+00:00,2026-06-16 23:27:53+00:00,2026-06-16 23:28:40+00:00,90.0,,,?,0,True,379.0,,379.0,HXR_only
2026-06-16 23:35:53+00:00,2026-06-16 23:36:18+00:00,2026-06-16 23:37:03+00:00,70.0,,,?,0,True,194.0,,194.0,HXR_only
2026-06-16 23:46:55+00:00,2026-06-16 23:47:17+00:00,2026-06-16 23:47:24+00:00,29.0,,,?,0,True,166.0,,166.0,HXR_only
2026-06-16 23:52:51+00:00,2026-06-16 23:52:57+00:00,2026-06-16 23:57:13+00:00,262.0,,,?,0,True,361.0,,361.0,HXR_only
